uniprotkb_A	uniprotkb_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier	intact_miscore
O15360	Q8IYD8	FANCA	FANCM	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359857	0.35
O15360	Q9NW38	FANCA	FANCL	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359857	0.46
O15360	Q8NB91	FANCA	FANCB	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359857	0.35
O15360	Q0VG06	FANCA	FAAP100	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359857	0.56
O15360	O15287	FANCA	FANCG	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359857	0.94
Q0VG06	Q9NW38	FAAP100	FANCL	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359904	0.48
Q0VG06	Q8IYD8	FAAP100	FANCM	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359904	0.35
Q0VG06	Q8NB91	FAAP100	FANCB	MI:0006	Ling	2007	17396147	MI:0914	EBI-7359904	0.56
Q8NB91	Q0VG06	FANCB	FAAP100	MI:0018	Ling	2007	17396147	MI:0915	EBI-7359988	0.56
Q0VG06	Q8NB91	FAAP100	FANCB	MI:0437	Ling	2007	17396147	MI:0915	EBI-7360069	0.56
Q0VG06	Q9NW38	FAAP100	FANCL	MI:0437	Ling	2007	17396147	MI:0915	EBI-7360069	0.48
O15360	O15287	FANCA	FANCG	MI:0071	Ling	2007	17396147	MI:0403	EBI-7360142	0.94
O15360	Q9NW38	FANCA	FANCL	MI:0071	Ling	2007	17396147	MI:0403	EBI-7360142	0.46
O15360	Q0VG06	FANCA	FAAP100	MI:0071	Ling	2007	17396147	MI:0403	EBI-7360142	0.56
P09874	Q8IW19	PARP1	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7360908	0.52
P09874	Q8IW19	PARP1	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7360932	0.52
Q8IW19	P27694	APLF	RPA1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.35
Q8IW19	P09874	APLF	PARP1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.52
Q8IW19	P46063	APLF	RECQL	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.35
Q8IW19	P13010	APLF	XRCC5	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.72
Q8IW19	P12956	APLF	XRCC6	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.64
Q8IW19	P11387	APLF	TOP1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.35
Q8IW19	P49916	APLF	LIG3	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.35
Q8IW19	P18887	APLF	XRCC1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.82
Q8IW19	P61247	APLF	RPS3A	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.35
Q8IW19	P78527	APLF	PRKDC	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970	0.35
P49917	Q8IW19	LIG4	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361033	0.61
P13010	Q8IW19	XRCC5	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361013	0.72
P13010	Q8IW19	XRCC5	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361130	0.72
Q13426	Q8IW19	XRCC4	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361067	0.74
P15884	Q09472	TCF4	EP300	MI:0096	Li	2007	17410209	MI:0915	EBI-7369589	0.40
Q01196	Q00534	RUNX1	CDK6	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375674	0.66
Q13951	Q01196	CBFB	RUNX1	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375788	0.61
Q01196	Q00534	RUNX1	CDK6	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375746	0.66
Q01196	Q00534	RUNX1	CDK6	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375858	0.66
P49715	Q01196	CEBPA	RUNX1	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375803	0.40
Q01196	Q00534	RUNX1	CDK6	MI:0006	Fujimoto	2007	17431401	MI:0915	EBI-7375946	0.66
Q13505	O75431	MTX1	MTX2	MI:0276	Kozjak	2007	17510655	MI:0403	EBI-7415260	0.35
Q13505	Q9Y512	MTX1	SAMM50	MI:0276	Kozjak	2007	17510655	MI:0403	EBI-7415260	0.35
P03372	Q9Y3R0	ESR1	GRIP1	MI:0096	Yang	2007	17545996	MI:0915	EBI-7443479	0.61
Q9UL03	Q09161	INTS6	NCBP1	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625	0.35
Q9UL03	Q14152	INTS6	EIF3A	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625	0.35
Q9UL03	Q04637	INTS6	EIF4G1	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625	0.35
Q9UL03	P06730	INTS6	EIF4E	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625	0.35
Q92900	Q9UL03	UPF1	INTS6	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390665	0.40
Q92900	Q9HAU5	UPF1	UPF2	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390740	0.94
Q9UL03	Q9HAU5	INTS6	UPF2	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390697	0.40
Q14152	P55884	EIF3A	EIF3B	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390812	0.40
Q9HAU5	P55884	UPF2	EIF3B	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390800	0.40
P17301	P08123	ITGA2	COL1A2	MI:0401	Tulla	2007	17485091	MI:0407	EBI-7404617	0.44
P49407	P30556	ARRB1	AGTR1	MI:0007	Lee	2007	17498700	MI:0915	EBI-7409701	0.40
P50148	P30556	GNAQ	AGTR1	MI:0007	Lee	2007	17498700	MI:0915	EBI-7409738	0.40
P21796	P06396	VDAC1	GSN	MI:0007	Qiao	2007	17254575	MI:0915	EBI-7212981	0.40
P18124	P27824	RPL7	CANX	MI:0428	Wu	2007	17258209	MI:0403	EBI-7239093	0.27
O00141	P10636	SGK1	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416038	0.44
P51812	P10636	RPS6KA3	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416117	0.44
P10636	P31749	MAPT	AKT1	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416141	0.44
P10636	O75582	MAPT	RPS6KA5	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416203	0.44
P23443	P10636	RPS6KB1	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416298	0.44
P10636	Q15418	MAPT	RPS6KA1	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416335	0.44
P49841	P10636	GSK3B	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416412	0.44
P04637	P18146	TP53	EGR1	MI:0027	Qu	2004	14744935	MI:0403	EBI-7092726	0.35
P04637	P49841	TP53	GSK3B	MI:0006	Qu	2004	14744935	MI:0915	EBI-7092785	0.66
P04637	P49841	TP53	GSK3B	MI:0424	Qu	2004	14744935	MI:0217	EBI-7092821	0.66
Q01094	P06400	E2F1	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350772	0.95
Q14209	P06400	E2F2	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350819	0.66
P06400	Q01094	RB1	E2F1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350804	0.95
O96017	P06400	CHEK2	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350862	0.60
O00716	P06400	E2F3	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350848	0.77
Q14209	P06400	E2F2	RB1	MI:0007	Inoue	2007	17380128	MI:0915	EBI-7350956	0.66
P06400	Q01094	RB1	E2F1	MI:0007	Inoue	2007	17380128	MI:0915	EBI-7350988	0.95
P06400	O96017	RB1	CHEK2	MI:0007	Inoue	2007	17380128	MI:0915	EBI-7351013	0.60
P06400	O96017	RB1	CHEK2	MI:0424	Inoue	2007	17380128	MI:0217	EBI-7351043	0.60
O14757	P06400	CHEK1	RB1	MI:0424	Inoue	2007	17380128	MI:0217	EBI-7351096	0.56
Q16539	P06400	MAPK14	RB1	MI:0424	Inoue	2007	17380128	MI:0217	EBI-7351114	0.62
O14757	P06400	CHEK1	RB1	MI:0096	Inoue	2007	17380128	MI:0407	EBI-7351177	0.56
O14757	P06400	CHEK1	RB1	MI:0096	Inoue	2007	17380128	MI:0407	EBI-7351194	0.56
P02766	Q08379	TTR	GOLGA2	MI:0428	Sato	2007	17431395	MI:0403	EBI-7373057	0.27
P42574	P31749	CASP3	AKT1	MI:0415	Jahani	2007	17544405	MI:0194	EBI-7442702	0.44
P42574	P31751	CASP3	AKT2	MI:0415	Jahani	2007	17544405	MI:0194	EBI-7442715	0.44
Q9Y243	P42574	AKT3	CASP3	MI:0415	Jahani	2007	17544405	MI:0194	EBI-7442743	0.61
Q14457	P10415	BECN1	BCL2	MI:0018	Maiuri	2007	17446862	MI:0915	EBI-5234827	0.94
Q07817	Q14457	BCL2L1	BECN1	MI:0018	Maiuri	2007	17446862	MI:0915	EBI-5234817	0.59
Q14457	Q07817	BECN1	BCL2L1	MI:0053	Maiuri	2007	17446862	MI:0407	EBI-5235017	0.59
Q16611	Q16611	BAK1	BAK1	MI:0053	Maiuri	2007	17446862	MI:0915	EBI-5234985	0.79
Q16611	Q07817	BAK1	BCL2L1	MI:0053	Maiuri	2007	17446862	MI:0915	EBI-5234985	0.88
Q16611	Q14457	BAK1	BECN1	MI:0053	Maiuri	2007	17446862	MI:0915	EBI-5234842	0.40
Q16611	Q07817	BAK1	BCL2L1	MI:0053	Maiuri	2007	17446862	MI:0915	EBI-5234842	0.88
Q07817	Q14457	BCL2L1	BECN1	MI:0007	Maiuri	2007	17446862	MI:0915	EBI-5235059	0.59
Q07817	Q14457	BCL2L1	BECN1	MI:0007	Maiuri	2007	17446862	MI:0915	EBI-5235072	0.59
Q14457	P10415	BECN1	BCL2	MI:0006	Maiuri	2007	17446862	MI:0915	EBI-5235106	0.94
Q14457	P10415	BECN1	BCL2	MI:0006	Maiuri	2007	17446862	MI:0915	EBI-5235094	0.94
P10415	Q92934	BCL2	BAD	MI:0006	Maiuri	2007	17446862	MI:0915	EBI-5241997	0.81
P98170	P0CG48	XIAP	UBC	MI:0006	Liu	2007	17318174	MI:0915	EBI-7276778	0.60
P98170	P0CG48	XIAP	UBC	MI:0007	Liu	2007	17318174	MI:0915	EBI-7276900	0.60
P46531	P98170	NOTCH1	XIAP	MI:0007	Liu	2007	17318174	MI:0915	EBI-7276943	0.60
P46531	P98170	NOTCH1	XIAP	MI:0007	Liu	2007	17318174	MI:0915	EBI-7276966	0.60
P98170	P46531	XIAP	NOTCH1	MI:0006	Liu	2007	17318174	MI:0915	EBI-7277048	0.60
P98170	P46531	XIAP	NOTCH1	MI:0096	Liu	2007	17318174	MI:0407	EBI-7277077	0.60
P0CG48	P98170	UBC	XIAP	MI:0096	Liu	2007	17318174	MI:0407	EBI-7277123	0.60
P51668	P98170	UBE2D1	XIAP	MI:0096	Liu	2007	17318174	MI:0407	EBI-7277106	0.67
Q15572	P20226	TAF1C	TBP	MI:0004	Gorski	2007	17318177	MI:0915	EBI-7278674	0.66
P20226	Q01105	TBP	SET	MI:0004	Gorski	2007	17318177	MI:0915	EBI-7278714	0.63
P20226	Q53T94	TBP	TAF1B	MI:0004	Gorski	2007	17318177	MI:0915	EBI-7278686	0.59
Q01105	P20226	SET	TBP	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278787	0.63
Q15572	Q01105	TAF1C	SET	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278804	0.63
Q53T94	Q01105	TAF1B	SET	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278822	0.52
P17480	Q01105	UBTF	SET	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278855	0.64
Q15573	Q53T94	TAF1A	TAF1B	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278909	0.40
Q53T94	Q01105	TAF1B	SET	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278872	0.52
P20226	Q53T94	TBP	TAF1B	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278941	0.59
Q01105	Q15573	SET	TAF1A	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278957	0.52
Q15572	Q53T94	TAF1C	TAF1B	MI:0007	Gorski	2007	17318177	MI:0915	EBI-7278925	0.40
Q15572	Q01105	TAF1C	SET	MI:0006	Gorski	2007	17318177	MI:0915	EBI-7279014	0.63
Q01105	P20226	SET	TBP	MI:0006	Gorski	2007	17318177	MI:0915	EBI-7279028	0.63
Q01105	P17480	SET	UBTF	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279051	0.64
Q9NYV6	Q01105	RRN3	SET	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279068	0.40
Q01105	P17480	SET	UBTF	MI:0096	Gorski	2007	17318177	MI:0407	EBI-7279084	0.64
Q01105	Q15572	SET	TAF1C	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279167	0.63
Q53T94	Q01105	TAF1B	SET	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279101	0.52
Q15573	Q01105	TAF1A	SET	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279118	0.52
Q15573	P20226	TAF1A	TBP	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279295	0.40
P20226	Q01105	TBP	SET	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279259	0.63
Q53T94	P20226	TAF1B	TBP	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279327	0.59
Q15572	P20226	TAF1C	TBP	MI:0096	Gorski	2007	17318177	MI:0915	EBI-7279311	0.66
Q01105	Q15572	SET	TAF1C	MI:0400	Gorski	2007	17318177	MI:0915	EBI-7279377	0.63
P17480	Q01105	UBTF	SET	MI:0047	Gorski	2007	17318177	MI:0915	EBI-7279353	0.64
O00257	P35226	CBX4	BMI1	MI:0006	Dietrich	2007	17332741	MI:0915	EBI-7290290	0.74
O95931	P35226	CBX7	BMI1	MI:0006	Dietrich	2007	17332741	MI:0915	EBI-7290302	0.83
Q9HC52	P35226	CBX8	BMI1	MI:0006	Dietrich	2007	17332741	MI:0915	EBI-7290314	0.87
Q9HC52	O00257	CBX8	CBX4	MI:0006	Dietrich	2007	17332741	MI:0915	EBI-7290358	0.40
O95931	Q9HC52	CBX7	CBX8	MI:0006	Dietrich	2007	17332741	MI:0915	EBI-7290369	0.40
P35226	Q9HC52	BMI1	CBX8	MI:0006	Dietrich	2007	17332741	MI:0915	EBI-7290346	0.87
Q9HC52	P35226	CBX8	BMI1	MI:0428	Dietrich	2007	17332741	MI:0403	EBI-7290421	0.87
P78364	Q9HC52	PHC1	CBX8	MI:0428	Dietrich	2007	17332741	MI:0403	EBI-7290445	0.27
Q9HC52	Q99496	CBX8	RNF2	MI:0428	Dietrich	2007	17332741	MI:0403	EBI-7290433	0.75
Q8IXK0	Q9HC52	PHC2	CBX8	MI:0428	Dietrich	2007	17332741	MI:0403	EBI-7290457	0.73
O94985	Q99767	CLSTN1	APBA2	MI:0007	Araki	2007	17332754	MI:0915	EBI-7298510	0.40
O00213	O94985	APBB1	CLSTN1	MI:0007	Araki	2007	17332754	MI:0915	EBI-7298547	0.40
P62136	O15169	PPP1CA	AXIN1	MI:0006	Luo	2007	17318175	MI:0915	EBI-7277919	0.52
O15169	P62136	AXIN1	PPP1CA	MI:0006	Luo	2007	17318175	MI:0915	EBI-7277952	0.52
O15169	P62136	AXIN1	PPP1CA	MI:0006	Luo	2007	17318175	MI:0915	EBI-7277966	0.52
P62136	O15169	PPP1CA	AXIN1	MI:0007	Luo	2007	17318175	MI:0915	EBI-7277990	0.52
P49840	O15169	GSK3A	AXIN1	MI:0007	Luo	2007	17318175	MI:0915	EBI-7278011	0.56
P61201	P25963	COPS2	NFKBIA	MI:0006	Schweitzer	2007	17318178	MI:0915	EBI-7280176	0.40
P25963	P0CG48	NFKBIA	UBC	MI:0006	Schweitzer	2007	17318178	MI:0915	EBI-7280222	0.66
Q15843	Q9Y297	NEDD8	BTRC	MI:0006	Schweitzer	2007	17318178	MI:0915	EBI-7280294	0.40
Q9Y297	Q13616	BTRC	CUL1	MI:0006	Schweitzer	2007	17318178	MI:0915	EBI-7280263	0.87
Q13616	Q15843	CUL1	NEDD8	MI:0006	Schweitzer	2007	17318178	MI:0915	EBI-7280335	0.89
Q15843	Q9Y297	NEDD8	BTRC	MI:0006	Schweitzer	2007	17318178	MI:0915	EBI-7280322	0.40
P25963	P0CG48	NFKBIA	UBC	MI:0007	Schweitzer	2007	17318178	MI:0915	EBI-7280406	0.66
P06748	P05549	NPM1	TFAP2A	MI:0006	Liu	2007	17318229	MI:0915	EBI-7287599	0.59
P06748	P05549	NPM1	TFAP2A	MI:0006	Liu	2007	17318229	MI:0915	EBI-7287613	0.59
P05549	P06748	TFAP2A	NPM1	MI:0007	Liu	2007	17318229	MI:0915	EBI-7287800	0.59
P06748	P05549	NPM1	TFAP2A	MI:0007	Liu	2007	17318229	MI:0915	EBI-7287855	0.59
P05549	P06748	TFAP2A	NPM1	MI:0096	Liu	2007	17318229	MI:0915	EBI-7287885	0.59
P06748	P05549	NPM1	TFAP2A	MI:0096	Liu	2007	17318229	MI:0915	EBI-7287902	0.59
P06748	Q13547	NPM1	HDAC1	MI:0007	Liu	2007	17318229	MI:0915	EBI-7287965	0.52
Q92769	P06748	HDAC2	NPM1	MI:0006	Liu	2007	17318229	MI:0915	EBI-7288038	0.40
P06748	Q13547	NPM1	HDAC1	MI:0006	Liu	2007	17318229	MI:0915	EBI-7288022	0.52
Q92769	P06748	HDAC2	NPM1	MI:0006	Liu	2007	17318229	MI:0915	EBI-7288054	0.40
P04637	O14503	TP53	BHLHE40	MI:0428	Thin	2007	17347673	MI:0403	EBI-7316257	0.56
P04637	O14503	TP53	BHLHE40	MI:0007	Thin	2007	17347673	MI:0915	EBI-7316317	0.56
Q00987	O14503	MDM2	BHLHE40	MI:0007	Thin	2007	17347673	MI:0915	EBI-7316340	0.40
Q00987	P04637	MDM2	TP53	MI:0006	Thin	2007	17347673	MI:0915	EBI-7316419	0.99
P04637	O14503	TP53	BHLHE40	MI:0096	Thin	2007	17347673	MI:0915	EBI-7316442	0.56
O14503	P04637	BHLHE40	TP53	MI:0096	Thin	2007	17347673	MI:0915	EBI-7316504	0.56
O14503	P04637	BHLHE40	TP53	MI:0096	Thin	2007	17347673	MI:0915	EBI-7316463	0.56
Q9H467	P06401	CUEDC2	PGR	MI:0018	Zhang	2007	17347654	MI:0915	EBI-1248236	0.66
Q9H467	P06401	CUEDC2	PGR	MI:0018	Zhang	2007	17347654	MI:0915	EBI-1248252	0.66
Q9H467	P06401	CUEDC2	PGR	MI:0096	Zhang	2007	17347654	MI:0915	EBI-1248268	0.66
P06401	Q9H467	PGR	CUEDC2	MI:0096	Zhang	2007	17347654	MI:0915	EBI-1248370	0.66
P03372	Q9H467	ESR1	CUEDC2	MI:0096	Zhang	2007	17347654	MI:0915	EBI-1248387	0.52
P06401	Q8WYK2	PGR	JDP2	MI:0096	Zhang	2007	17347654	MI:0915	EBI-1248429	0.40
P06401	Q9Y618	PGR	NCOR2	MI:0096	Zhang	2007	17347654	MI:0915	EBI-1248439	0.40
P06401	Q9H467	PGR	CUEDC2	MI:0007	Zhang	2007	17347654	MI:0915	EBI-1248288	0.66
Q9H467	P03372	CUEDC2	ESR1	MI:0007	Zhang	2007	17347654	MI:0915	EBI-1248300	0.52
Q9H467	P06401	CUEDC2	PGR	MI:0006	Zhang	2007	17347654	MI:0915	EBI-1248322	0.66
P06401	Q9H467	PGR	CUEDC2	MI:0663	Zhang	2007	17347654	MI:0403	EBI-1248337	0.66
Q9H467	P06401	CUEDC2	PGR	MI:0010	Zhang	2007	17347654	MI:0915	EBI-1248407	0.66
Q9H467	P06401	CUEDC2	PGR	MI:0663	Zhang	2007	17347654	MI:0403	EBI-1248350	0.66
P01009	P43307	SERPINA1	SSR1	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352227	0.52
P43307	P01009	SSR1	SERPINA1	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352260	0.52
P01009	P43307	SERPINA1	SSR1	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352273	0.52
P51571	P43307	SSR4	SSR1	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352304	0.40
P43307	P27824	SSR1	CANX	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352331	0.62
P43307	Q92611	SSR1	EDEM1	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352345	0.40
P43307	P60468	SSR1	SEC61B	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352318	0.40
P27824	P01009	CANX	SERPINA1	MI:0006	Nagasawa	2007	17380188	MI:0915	EBI-7352360	0.40
P43307	P01009	SSR1	SERPINA1	MI:0007	Nagasawa	2007	17380188	MI:0915	EBI-7352541	0.52
Q96B97	P78314	SH3KBP1	SH3BP2	MI:0018	Le	2007	17306257	MI:0915	EBI-7274675	0.64
P78314	P15498	SH3BP2	VAV1	MI:0018	Le	2007	17306257	MI:0915	EBI-7274716	0.79
Q9UJU6	P78314	DBNL	SH3BP2	MI:0018	Le	2007	17306257	MI:0915	EBI-7274741	0.66
P78314	Q96B97	SH3BP2	SH3KBP1	MI:0096	Le	2007	17306257	MI:0915	EBI-7274808	0.64
P78314	Q96B97	SH3BP2	SH3KBP1	MI:0096	Le	2007	17306257	MI:0915	EBI-7274775	0.64
P78314	Q9UJU6	SH3BP2	DBNL	MI:0096	Le	2007	17306257	MI:0915	EBI-7274922	0.66
P78314	Q96B97	SH3BP2	SH3KBP1	MI:0096	Le	2007	17306257	MI:0915	EBI-7274857	0.64
P78314	Q9UJU6	SH3BP2	DBNL	MI:0096	Le	2007	17306257	MI:0915	EBI-7274994	0.66
P78314	Q96B97	SH3BP2	SH3KBP1	MI:0096	Le	2007	17306257	MI:0915	EBI-7274964	0.64
P78314	Q96B97	SH3BP2	SH3KBP1	MI:0007	Le	2007	17306257	MI:0915	EBI-7275074	0.64
Q9UJU6	P78314	DBNL	SH3BP2	MI:0007	Le	2007	17306257	MI:0915	EBI-7275117	0.66
Q96B97	P78314	SH3KBP1	SH3BP2	MI:0049	Le	2007	17306257	MI:0915	EBI-7275169	0.64
Q9UJU6	P78314	DBNL	SH3BP2	MI:0049	Le	2007	17306257	MI:0915	EBI-7275231	0.66
P78314	Q9UJU6	SH3BP2	DBNL	MI:0029	Le	2007	17306257	MI:0403	EBI-7275329	0.66
P78314	Q9UJU6	SH3BP2	DBNL	MI:0029	Le	2007	17306257	MI:0403	EBI-7275329	0.66
P78314	O43561	SH3BP2	LAT	MI:0029	Le	2007	17306257	MI:0403	EBI-7275329	0.35
P78314	P15498	SH3BP2	VAV1	MI:0029	Le	2007	17306257	MI:0403	EBI-7275329	0.79
Q96B97	P78314	SH3KBP1	SH3BP2	MI:0428	Le	2007	17306257	MI:0403	EBI-7275362	0.64
P78314	Q9UJU6	SH3BP2	DBNL	MI:0416	Le	2007	17306257	MI:0403	EBI-7275407	0.66
Q9BZE0	Q9HCS7	GLIS2	XAB2	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251396	0.37
Q9BZE0	Q9H4A3	GLIS2	WNK1	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251435	0.37
Q9BZE0	P26368	GLIS2	U2AF2	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251458	0.37
P81274	Q9BZE0	GPSM2	GLIS2	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251514	0.37
Q9BZE0	Q10570	GLIS2	CPSF1	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251537	0.37
Q9BZE0	O43251	GLIS2	RBFOX2	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251599	0.37
Q9BZE0	Q69YQ0	GLIS2	SPECC1L	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251560	0.37
Q9BZE0	P35222	GLIS2	CTNNB1	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251622	0.58
Q9BZE0	P35222	GLIS2	CTNNB1	MI:0398	Kim	2007	17289029	MI:0915	EBI-7251673	0.58
Q9BZE0	P35222	GLIS2	CTNNB1	MI:0007	Kim	2007	17289029	MI:0915	EBI-7251757	0.58
