uniprotkb_A	uniprotkb_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier
P09874	Q8IW19	PARP1	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7360908
P09874	Q8IW19	PARP1	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7360932
Q8IW19	P27694	APLF	RPA1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P09874	APLF	PARP1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P46063	APLF	RECQL	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P13010	APLF	XRCC5	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P12956	APLF	XRCC6	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P11387	APLF	TOP1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P49916	APLF	LIG3	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P18887	APLF	XRCC1	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P61247	APLF	RPS3A	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
Q8IW19	P78527	APLF	PRKDC	MI:0096	Kanno	2007	17396150	MI:0914	EBI-7360970
P49917	Q8IW19	LIG4	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361033
P13010	Q8IW19	XRCC5	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361013
P13010	Q8IW19	XRCC5	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361130
Q13426	Q8IW19	XRCC4	APLF	MI:0096	Kanno	2007	17396150	MI:0407	EBI-7361067
P15884	Q09472	TCF4	EP300	MI:0096	Li	2007	17410209	MI:0915	EBI-7369589
Q01196	Q00534	RUNX1	CDK6	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375674
Q13951	Q01196	CBFB	RUNX1	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375788
Q01196	Q00534	RUNX1	CDK6	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375746
Q01196	Q00534	RUNX1	CDK6	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375858
P49715	Q01196	CEBPA	RUNX1	MI:0007	Fujimoto	2007	17431401	MI:0915	EBI-7375803
Q01196	Q00534	RUNX1	CDK6	MI:0006	Fujimoto	2007	17431401	MI:0915	EBI-7375946
Q13505	O75431	MTX1	MTX2	MI:0276	Kozjak	2007	17510655	MI:0403	EBI-7415260
Q13505	Q9Y512	MTX1	SAMM50	MI:0276	Kozjak	2007	17510655	MI:0403	EBI-7415260
P03372	Q9Y3R0	ESR1	GRIP1	MI:0096	Yang	2007	17545996	MI:0915	EBI-7443479
Q9UL03	Q09161	INTS6	NCBP1	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625
Q9UL03	Q14152	INTS6	EIF3A	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625
Q9UL03	Q04637	INTS6	EIF4G1	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625
Q9UL03	P06730	INTS6	EIF4E	MI:0006	Lugovi	2007	17469741	MI:0914	EBI-7390625
Q92900	Q9UL03	UPF1	INTS6	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390665
Q92900	Q9HAU5	UPF1	UPF2	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390740
Q9UL03	Q9HAU5	INTS6	UPF2	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390697
Q14152	P55884	EIF3A	EIF3B	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390812
Q9HAU5	P55884	UPF2	EIF3B	MI:0006	Lugovi	2007	17469741	MI:0915	EBI-7390800
P17301	P08123	ITGA2	COL1A2	MI:0401	Tulla	2007	17485091	MI:0407	EBI-7404617
P49407	P30556	ARRB1	AGTR1	MI:0007	Lee	2007	17498700	MI:0915	EBI-7409701
P50148	P30556	GNAQ	AGTR1	MI:0007	Lee	2007	17498700	MI:0915	EBI-7409738
P21796	P06396	VDAC1	GSN	MI:0007	Qiao	2007	17254575	MI:0915	EBI-7212981
P18124	P27824	RPL7	CANX	MI:0428	Wu	2007	17258209	MI:0403	EBI-7239093
O00141	P10636	SGK1	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416038
P51812	P10636	RPS6KA3	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416117
P10636	P31749	MAPT	AKT1	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416141
P10636	O75582	MAPT	RPS6KA5	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416203
P23443	P10636	RPS6KB1	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416298
P10636	Q15418	MAPT	RPS6KA1	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416335
P49841	P10636	GSK3B	MAPT	MI:0424	Virdee	2007	17512525	MI:0217	EBI-7416412
P04637	P18146	TP53	EGR1	MI:0027	Qu	2004	14744935	MI:0403	EBI-7092726
P04637	P49841	TP53	GSK3B	MI:0006	Qu	2004	14744935	MI:0915	EBI-7092785
P04637	P49841	TP53	GSK3B	MI:0424	Qu	2004	14744935	MI:0217	EBI-7092821
Q01094	P06400	E2F1	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350772
Q14209	P06400	E2F2	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350819
P06400	Q01094	RB1	E2F1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350804
O96017	P06400	CHEK2	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350862
O00716	P06400	E2F3	RB1	MI:0006	Inoue	2007	17380128	MI:0915	EBI-7350848
Q14209	P06400	E2F2	RB1	MI:0007	Inoue	2007	17380128	MI:0915	EBI-7350956
P06400	Q01094	RB1	E2F1	MI:0007	Inoue	2007	17380128	MI:0915	EBI-7350988
P06400	O96017	RB1	CHEK2	MI:0007	Inoue	2007	17380128	MI:0915	EBI-7351013
P06400	O96017	RB1	CHEK2	MI:0424	Inoue	2007	17380128	MI:0217	EBI-7351043
O14757	P06400	CHEK1	RB1	MI:0424	Inoue	2007	17380128	MI:0217	EBI-7351096
Q16539	P06400	MAPK14	RB1	MI:0424	Inoue	2007	17380128	MI:0217	EBI-7351114
O14757	P06400	CHEK1	RB1	MI:0096	Inoue	2007	17380128	MI:0407	EBI-7351177

